Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
chr1_+_11788793_11788819	10	7	7	6	7	6	8
chr1_+_11788827_11788887	10	7	7	6	7	6	8
chr1_+_11917330_11917357	117	30	199	1417	57	1718	30
chr1_+_11917365_11917420	90	27	136	1213	42	1433	21
chr1_+_11962824_11963017	31	57	60	36	23	32	31
chr1_+_11963062_11963090	4	9	5	6	3	4	3
chr1_+_11963091_11963108	38	67	77	45	29	38	38
chr1_+_12002098_12002134	27	52	44	42	26	32	44
chr1_+_12002138_12002176	26	51	43	42	26	32	43
chr1_+_12046020_12046242	5	9	8	18	9	16	8
chr1_+_12108542_12108664	6	9	8	17	8	14	8
chr1_+_12149637_12149659	21	28	16	18	25	16	16
chr1_+_12212643_12212746	18	20	13	17	23	21	20
chr1_+_12757570_12757570	32	9	29	37	38	27	32
chr1_+_12774132_12774162	12	3	6	6	11	8	7
chr1_+_12839527_12839578	11	3	6	6	11	8	6
chr1_+_12899036_12899053	825	43	303	695	704	644	710
chr1_+_13232405_13232420	14	7	13	14	9	10	19
chr1_+_13293762_13293776	24	12	15	31	9	16	19
chr1_+_13367840_13367844	12	9	7	3	33	12	8
chr1_+_13388652_13388652	890	176	489	791	1501	652	914
chr1_+_13394549_13394549	890	176	489	791	1501	652	914
chr1_+_13514559_13514573	24	12	15	31	9	16	19
chr1_+_13588674_13588678	12	9	7	3	33	12	8
chr1_+_13609493_13609493	890	176	489	791	1501	652	914
chr1_+_13615388_13615388	890	176	489	791	1501	652	914
chr1_+_13782838_13783115	41	6	32	17	16	27	12
chr1_+_13784553_13784553	46	9	24	28	34	41	24
chr1_+_13899272_13899350	15	13	9	11	15	9	11
chr1_+_13903936_13903936	14	16	10	12	16	9	12
chr1_+_13948448_13948496	13	25	12	13	18	10	15
chr1_+_13948504_13948517	13	10	8	11	17	9	11
chr1_+_13948518_13948539	15	10	9	12	17	10	11
chr1_+_14797764_14797799	20	11	13	17	15	15	14
chr1_+_15123165_15123447	25	16	20	21	18	21	24
chr1_+_15128882_15128882	28	19	23	22	19	22	26
chr1_+_15145001_15145001	28	19	23	22	19	22	26
chr1_+_15351585_15351716	10	10	20	16	42	19	10
chr1_+_15351885_15351897	9	8	18	14	41	17	9
chr1_+_15352800_15352871	9	8	18	14	41	17	9
chr1_+_15446354_15446354	1902	772	827	1407	3612	1287	3023
chr1_+_15608974_15609001	18	136	96	38	70	42	263
chr1_+_15609009_15609035	18	136	96	38	70	42	263
chr1_+_15637521_15637547	34	12	37	25	10337	30	31
chr1_+_15655809_15655835	11	8	10	12	7841	9	7
chr1_+_15675182_15675187	13	9	9	14	2038	10	11
chr1_+_15725935_15725970	18	13	13	16	19	16	19
chr1_+_15858950_15858950	28	9	20	34	38	39	15
chr1_+_15862887_15862932	161	247	90	21	755	127	636
chr1_+_15883403_15883418	48	53	29	20	31	37	45
chr1_+_15883425_15883637	48	53	29	20	31	37	45
chr1_+_15935395_15935395	715	201	397	575	475	431	412
chr1_+_15955719_15955740	3434	3624	1513	3931	3580	3172	9281
chr1_+_15957832_15957896	3514	3659	1545	4005	3638	3225	9402
chr1_+_15963580_15963616	535	1862	167	850	2147	361	2327
chr1_+_15964045_15964065	3595	3694	1578	4078	3695	3279	9521
chr1_+_16046945_16046987	20	89	15	12	18	14	18
chr1_+_16220952_16221128	15	12	13	18	29	14	27
chr1_+_16242833_16242938	12	9	10	13	18	11	15
chr1_+_16247870_16247945	13	10	11	14	20	12	17
chr1_+_16566169_16566348	75	28	58	95	30	81	33
chr1_+_16639753_16639790	51	292	189	197	54	237	108
chr1_+_16639805_16639819	39	243	121	168	41	157	73
chr1_+_16639822_16639843	38	248	120	170	41	156	74
chr1_+_17121012_17121031	18	31	16	29	39	23	25
chr1_+_17404206_17404228	50	23	28	31	25	27	37
chr1_+_17448179_17448193	16	9	15	15	17	17	16
chr1_+_17507276_17507304	16	10	12	10	13	10	10
chr1_+_17719405_17719415	23560	9071	9070	17128	25195	12790	35077
chr1_+_17738863_17739032	26	17	27	20	88	28	22
chr1_+_17779528_17779677	19	15	20	15	66	20	16
chr1_+_17817397_17817508	34	24	34	26	93	30	21
chr1_+_17954394_17954473	17	14	12	25	19	15	30
chr1_+_18830086_18830086	24	7	12	16	12	16	13
chr1_+_19450626_19450677	23	62	65	37	30	30	19
chr1_+_19450875_19450918	24	64	68	38	30	31	20
chr1_+_19511326_19511438	28	15	17	17	23	19	34
chr1_+_19796044_19796088	128	21	43	54	83	68	76
chr1_+_19796119_19796158	5662	9227	8683	7712	6744	6427	1910
chr1_+_19807168_19807194	5878	7157	7293	5306	5499	5144	3235
chr1_+_19842309_19842312	127	25	61	54	67	65	36
chr1_+_19843261_19843487	118	24	59	50	62	63	34
chr1_+_20081424_20081478	6	14	4	4	6	5	23
chr1_+_20081495_20081507	6	14	4	4	6	5	23
chr1_+_20227480_20227513	15	8	11	11	12	7	10
chr1_+_20269239_20269424	17	5	8	12	14	7	17
chr1_+_20338405_20338506	12	5	7	9	12	11	8
chr1_+_20788027_20788212	7	4	17	5	9	5	7
chr1_+_20832533_20832636	58	18	53	38	39	55	265
chr1_+_20837001_20837026	38	27	31	28	28	29	121
chr1_+_21639146_21639392	231	732	240	119	266	234	1466
chr1_+_21708428_21708465	39	8	11	12	16	16	13
chr1_+_21708502_21708537	36	7	11	15	17	16	14
chr1_+_22107137_22107137	2531	4642	4196	3270	4459	3910	350
chr1_+_22176004_22176129	12	8	9	12	14776	11	11
chr1_+_22200735_22200753	7	6	6	7	13517	8	6
chr1_+_22224571_22224628	18	7	7	7	56	5	11
chr1_+_22251706_22251808	26	48	64	74	24	38	24
chr1_+_22650930_22650933	26	35	21	24	28	23	26
chr1_+_22650934_22651092	10	17	11	9	11	9	14
chr1_+_22835684_22835768	17	11	11	12	48	11	12
chr1_+_22852268_22852352	20	9	12	14	212	12	12
chr1_+_22909916_22910104	12	7	11	14	14	17	11
chr1_+_23218515_23218570	59	198	181	132	55	170	554
chr1_+_23218572_23218699	53	187	174	122	49	161	526
chr1_+_23890857_23890879	3576	4777	3685	3623	3551	3445	1227
chr1_+_23890880_23890893	3576	4777	3685	3623	3551	3445	1227
chr1_+_23942442_23942541	87	38	91	104	64	109	96
chr1_+_23942548_23942593	35	45	55	46	23	33	31
chr1_+_23990228_23990297	17	106	60	24	17	24	23
chr1_+_24158887_24158897	133	568	182	121	142	117	74
chr1_+_24158898_24158969	133	568	182	121	142	117	74
chr1_+_24614831_24614950	49	21	25	33	32	30	29
chr1_+_24701363_24701451	10	5	7	10	9	8	7
chr1_+_24701886_24702190	16	5	11	12	13	10	14
chr1_+_24713396_24713505	17	5	13	13	14	11	16
chr1_+_24755152_24755221	2163	585	367	1635	566	1191	2483
chr1_+_24842180_24842260	39	314	141	63	89	67	137
chr1_+_24842298_24842352	39	314	141	63	89	67	137
chr1_+_24842353_24842379	44	123	76	36	61	45	114
chr1_+_24842381_24842401	40	240	118	53	80	60	130
chr1_+_24944346_24944491	422	25	69	384	29	481	22
chr1_+_24944493_24944547	222	8	26	311	24	244	14
chr1_+_24944554_24944631	223	10	32	279	29	189	16
chr1_+_25471470_25471688	8	5	5	6	7	6	6
chr1_+_25537372_25537471	79	92	52	98	67	145	24
chr1_+_25629968_25630176	28	26	25	30	29	22	70
chr1_+_25742630_25742726	14	33	24	18	54	16	21
chr1_+_25742730_25742773	16	33	26	19	60	18	22
chr1_+_25816545_25816545	19	4	4	4	10	7	6
chr1_+_25817197_25817288	15	11	7	8	12	8	8
chr1_+_26220852_26220857	31	17	24	25	18	22	18
chr1_+_26220895_26221011	53	19	35	46	27	40	24
chr1_+_26310854_26310999	9544	8109	4459	9474	12120	6868	23968
chr1_+_26358097_26358169	13	15	8	12	12	18	19
chr1_+_26368969_26369115	20	45	85	27	49	24	14
chr1_+_26376560_26376606	32	19	26	16	30	15	18
chr1_+_26376611_26376625	14	33	16	24	19	16	17
chr1_+_26433200_26433284	37	72	42	25	49	16	99
chr1_+_26478799_26478799	333	285	1466	1316	79	1111	16
chr1_+_26479030_26479113	333	285	1466	1316	79	1111	16
chr1_+_26479167_26479170	333	285	1466	1316	79	1111	16
chr1_+_26479173_26479197	333	285	1466	1316	79	1111	16
chr1_+_26479208_26479228	195	220	1004	963	36	684	14
chr1_+_26480134_26480207	460	271	2464	1500	200	1920	69
chr1_+_26516967_26517007	28	107	22	23	34	30	15
chr1_+_26517032_26517037	23	204	17	17	24	13	13
chr1_+_26517045_26517095	19	178	15	15	22	14	13
chr1_+_26609819_26609857	17	12	17	13	15	13	24
chr1_+_26609893_26609968	17	12	17	13	15	13	24
chr1_+_26631359_26631506	28	26	41	25	15	20	20
chr1_+_26671488_26671532	321	4041	831	1230	582	645	649
chr1_+_26671548_26671690	291	3860	755	1092	545	557	590
chr1_+_26728827_26728838	18	53	173	14	18	19	20
chr1_+_26728839_26728841	14	76	153	14	13	12	13
chr1_+_26728846_26728998	13	40	148	11	14	14	16
chr1_+_26744893_26744927	11	78	169	11	15	15	15
chr1_+_26744929_26744961	18	53	173	14	18	19	20
chr1_+_26895108_26895110	30	134	26	34	41	47	66
chr1_+_26896519_26896593	31	68	26	36	39	45	62
chr1_+_26973804_26973947	27	90	26	28	25	34	69
chr1_+_26986996_26987090	47	50	44	34	45	41	269
chr1_+_27025717_27025851	10	19	16	11	13	7	8
chr1_+_27062215_27062290	29	25	6320	28	30	21	25
chr1_+_27120799_27120820	44	324	149	157	47	126	167
chr1_+_27120823_27120833	44	326	150	158	47	127	169
chr1_+_27120836_27120922	21	75	46	52	24	41	49
chr1_+_27433593_27433650	17	21	11	26	22	22	53
chr1_+_27433728_27433770	23	50	19	20	32	19	107
chr1_+_27521209_27521268	34	22	40	46	23	32	35
chr1_+_27521308_27521332	41	27	40	46	25	33	39
chr1_+_27521333_27521473	43	44	47	61	41	46	57
chr1_+_27591738_27591768	19	11	18	27	22	19	23
chr1_+_27925054_27925177	8	4	5	6	17	6	6
chr1_+_27972269_27972448	76	35	22	35	32	99	12
chr1_+_28029879_28029908	18	124	87	26	22	24	25
chr1_+_28029909_28029921	18	124	87	26	22	24	25
chr1_+_28029922_28029935	18	124	87	26	22	24	25
chr1_+_28071640_28071678	13	32	12	9	12	8	26
chr1_+_28134090_28134207	10	5	4	4	7	6	5
chr1_+_28159068_28159142	98	41	89	114	124	165	132
chr1_+_28435167_28435305	54	568	448	230	57	196	641
chr1_+_28528099_28528170	6	6	9	6	6	6	8
chr1_+_28568643_28568981	38	50	50	43	50	32	41
chr1_+_28637247_28637268	35	47	45	39	45	30	37
chr1_+_28705041_28705130	32	81	57	42	32	47	44
chr1_+_28705139_28705200	31	30	26	25	41	24	29
chr1_+_28717234_28717346	32	81	57	42	32	47	44
chr1_+_28717349_28717390	21	53	29	38	33	27	77
chr1_+_28752106_28752209	35	40	52	28	33	41	16
chr1_+_28791298_28791361	25003	14459	11518	21786	21591	16129	36067
chr1_+_28791593_28791613	243	14	217	267	22	350	18
chr1_+_28867801_28867831	16	50	12	12	16	15	18
chr1_+_28867876_28867955	14	47	11	10	14	13	16
chr1_+_28935719_28936022	50	327	174	105	58	125	106
chr1_+_28936030_28936219	59	340	192	125	71	149	124
chr1_+_29011240_29011240	27	9	8	11	16	13	26
chr1_+_29086156_29086201	13	7	10	12	9	11	9
chr1_+_29086206_29086282	10	6	8	9	9	8	7
chr1_+_29435534_29435737	58	10	45	32	28	22	49
chr1_+_31814672_31814708	28	11	53	76	21	23	18
chr1_+_31814709_31814710	29	11	56	79	21	24	18
chr1_+_31814712_31814746	33	13	69	97	26	27	21
chr1_+_31823097_31823185	29	11	56	79	21	24	18
chr1_+_31855873_31855887	12	10	14	13	26	15	14
chr1_+_32251988_32252183	32	195	103	118	43	98	91
chr1_+_32311084_32311099	9	42	13	10	13	26	23
chr1_+_32311108_32311215	10	41	13	11	14	29	22
chr1_+_32346206_32346262	32	31	33	45	36	46	35
chr1_+_32417846_32417902	43	21	13	37	9	42	41
chr1_+_32417909_32417948	45	23	13	39	11	44	45
chr1_+_32418234_32418253	45	23	13	39	11	44	45
chr1_+_32418395_32418533	45	23	13	39	11	44	45
chr1_+_32433605_32433611	45	23	13	39	11	44	45
chr1_+_32438788_32438839	24	29	21	39	22	27	41
chr1_+_32443822_32443886	148	34	45	75	113	71	88
chr1_+_32460557_32460594	160	269	394	316	127	677	51
chr1_+_32460597_32460598	148	248	361	311	112	639	51
chr1_+_32460600_32460635	157	268	389	312	124	670	50
chr1_+_32460640_32460724	156	268	388	311	124	669	50
chr1_+_32489426_32489518	13	6	9	8	13	9	9
chr1_+_32512298_32512556	15	6	10	8	11	8	9
chr1_+_32530289_32530291	61	448	362	174	275	246	180
chr1_+_32530294_32530296	61	448	362	174	275	246	180
chr1_+_32530298_32530357	61	448	362	174	275	246	180
chr1_+_32777358_32777358	7460	2206	2464	8306	866	5025	6925
chr1_+_32889335_32889545	50	348	110	50	26	58	419
chr1_+_33055629_33055779	7	66	11	11	7	6	48
chr1_+_33055780_33056019	17455	12348	7642	16429	16340	11826	26851
chr1_+_33124658_33124684	26	18	20	20	16	15	16
chr1_+_34993234_34993307	11	6	145	7	11	12	11
chr1_+_34997928_34997928	14	8	10	14	14	16	11
chr1_+_35019376_35019410	42	13	644	25	17	30	26
chr1_+_35020425_35020508	42	13	630	24	16	32	26
chr1_+_35031185_35031208	8	17	10	32	11	13	7
chr1_+_35317535_35317570	11	13	12	13	14	9	10
chr1_+_35317571_35317631	12	12	13	13	16	10	11
chr1_+_35507145_35507154	24	75	26	34	25	66	34
chr1_+_35507197_35507233	21	30	18	19	23	50	67
chr1_+_35623688_35623720	23	34	19	20	24	56	80
chr1_+_35795976_35796053	8	11	8	9	12	10	8
chr1_+_36046373_36046442	6	8	4	6	5	5	6
chr1_+_36121382_36121399	24	43	13	17	17	17	15
chr1_+_36160375_36160517	24	43	13	17	17	17	15
chr1_+_36168883_36168939	17501	3441	6169	11695	10230	8448	24953
chr1_+_36169260_36169515	4	16	4	5	5	4	8
chr1_+_36322262_36322284	9	6	7	5	6	8	45
chr1_+_36322301_36322319	8	6	8	5	7	6	56
chr1_+_36394044_36394335	90	61	182	209	22	234	31
chr1_+_36394338_36394460	89	65	186	212	23	231	33
chr1_+_36409277_36409449	101	76	213	245	22	271	35
chr1_+_36462583_36462620	13	11	9	7	8	7	13
chr1_+_36462625_36462674	25	22	18	17	15	14	24
chr1_+_36520751_36520823	36	43	97	22	17	20	132
chr1_+_36544549_36544580	79	19	36	55	56	52	69
chr1_+_36545283_36545304	89	17	37	55	57	59	73
chr1_+_37712661_37712708	47	16	65	28	51	261	24
chr1_+_37712716_37712758	47	16	65	28	51	261	24
chr1_+_37712767_37712781	47	16	65	28	51	261	24
chr1_+_37795101_37795193	15	5	11	13	16	10	325
chr1_+_37930716_37930754	15	70	13	60	22	13	62
chr1_+_37930763_37930774	15	73	12	56	22	13	64
chr1_+_37930776_37930948	15	73	12	56	22	13	64
chr1_+_38032045_38032447	13202	16359	5775	11095	14059	7837	32383
chr1_+_38033666_38033746	13202	16359	5775	11095	14059	7837	32383
chr1_+_38250953_38250992	69	69	129	93	33	94	72
chr1_+_38250995_38251040	82	82	104	90	29	112	68
chr1_+_39229474_39229825	23	36	37	21	16	110	32
chr1_+_39264553_39264637	523	1147	1459	518	332	1224	97
chr1_+_39319675_39319704	77	191	87	79	53	163	77
chr1_+_39569396_39569396	77	182	85	76	50	157	74
chr1_+_39647762_39647762	8	7	6	6	9	6	6
chr1_+_39694849_39694964	383	1005	117	583	1500	285	1367
chr1_+_39729885_39729979	13	9	11	11	15	12	9
chr1_+_39977103_39977148	20	30	82	24	24	29	46
chr1_+_39977150_39977163	19	29	79	24	24	29	44
chr1_+_40278841_40278887	577	685	2136	1584	140	1678	175
chr1_+_40278958_40278965	373	285	1099	841	20	780	17
chr1_+_40278971_40278990	502	640	1954	1312	72	1299	128
chr1_+_40278993_40279004	508	672	2001	1402	72	1353	144
chr1_+_40279010_40279021	502	640	1954	1312	72	1299	128
chr1_+_40279023_40279034	555	804	2235	1536	86	1489	196
chr1_+_40279036_40279054	577	685	2136	1584	140	1678	175
chr1_+_40399618_40399635	11	24	17	14	8	10	21
chr1_+_40399642_40399647	14	23	20	13	8	10	20
chr1_+_40496317_40496410	96	116	313	124	64	138	17
chr1_+_40496425_40496441	96	116	313	124	64	138	17
chr1_+_40496451_40496471	96	116	313	124	64	138	17
chr1_+_40496494_40496497	80	74	289	99	46	118	14
chr1_+_40508336_40508364	96	116	313	124	64	138	17
chr1_+_40688360_40688414	7	8	8	10	7	7	6
chr1_+_40688923_40688923	7	8	8	10	7	7	6
chr1_+_40747017_40747056	16	9	14	16	20	12	17
chr1_+_40929828_40929890	16	36	19	33	14	19	32
chr1_+_40929936_40929953	14	25	17	26	11	16	29
chr1_+_40929957_40929971	16	36	19	33	14	19	33
chr1_+_40929973_40929977	14	23	18	29	10	16	32
chr1_+_40929979_40929985	16	23	20	30	9	17	37
chr1_+_40929993_40930009	17	36	20	34	15	20	32
chr1_+_40930015_40930040	15	22	20	28	11	16	30
chr1_+_40930062_40930075	13	20	17	24	7	16	29
chr1_+_40930080_40930111	9	33	10	18	7	10	20
chr1_+_40930233_40930276	17	31	20	33	12	18	37
chr1_+_40977092_40977178	14	23	18	26	10	15	30
chr1_+_41022066_41022270	27	12	18	16	30	15	16
chr1_+_41057186_41057222	27	12	18	16	30	15	16
chr1_+_41217555_41217593	7	124	76	16	9	25	23
chr1_+_41217946_41217953	7	124	76	16	9	25	23
chr1_+_41217989_41218053	7	127	84	16	9	28	25
chr1_+_42391678_42391689	11	7	12	11	11	10	12
chr1_+_42694751_42694819	33	90	62	20	57	23	10
chr1_+_42694821_42694847	44	183	113	26	69	30	12
chr1_+_42896634_42896704	67	394	226	132	60	75	68
chr1_+_42920635_42920660	1330	1299	2017	2238	532	1750	6475
chr1_+_42920683_42920684	1395	1388	2204	2720	346	2048	8003
chr1_+_42920685_42920689	1333	1293	1997	2233	529	1741	6474
chr1_+_42920692_42920712	1314	1282	1979	2215	519	1729	6375
chr1_+_42920718_42920727	1330	1299	2017	2238	532	1750	6475
chr1_+_42920729_42920754	1168	1149	1680	2040	405	1576	5530
chr1_+_42920755_42920764	1330	1299	2017	2238	532	1750	6475
chr1_+_42920774_42920821	1237	1166	1642	2061	395	1598	5523
chr1_+_42920889_42920944	1330	1299	2017	2238	532	1750	6475
chr1_+_42920946_42921397	1576	1617	2755	2806	598	2169	9018
chr1_+_42934910_42935048	1656	1913	2889	2826	721	2146	9509
chr1_+_43005498_43005506	16	20	20	14	14	16	29
chr1_+_43005515_43005547	15	18	18	13	13	14	25
chr1_+_43005549_43005566	29	27	56	29	28	31	51
chr1_+_43055362_43055381	11	26	13	12	16	15	10
chr1_+_43055383_43055397	10	23	12	12	15	14	9
chr1_+_43063817_43063897	10	23	12	12	15	14	9
chr1_+_43539239_43539329	5	12	5	7	9	9	6
chr1_+_43576061_43576106	12	16	9	8	11	14	11
chr1_+_43597185_43597473	12	110	198	468	9	23	178
chr1_+_43628186_43628226	15	13	12	28	16	13	10
chr1_+_43661383_43661383	15	17	9	14	17	14	34
chr1_+_43769065_43769317	28	6	120	36	32	79	11
chr1_+_43837096_43837103	29	6	127	38	35	88	11
chr1_+_43888382_43888390	18	40	24	24	31	31	21
chr1_+_43888391_43888406	28	44	39	25	22	17	30
chr1_+_43888415_43888448	17	35	22	20	29	24	19
chr1_+_44171578_44171578	22	8	37	12	17	14	14
chr1_+_44185005_44185091	58	12	40	35	37	40	194
chr1_+_44185169_44185225	58	12	40	35	37	40	194
chr1_+_44185227_44185271	12	12	13	14	11	16	87
chr1_+_44208236_44208434	31	35	28	33	36	34	25
chr1_+_44213182_44213193	15	152	105	30	55	39	19
chr1_+_44213200_44213209	16	146	100	31	49	38	18
chr1_+_44213210_44213228	15	152	105	30	55	39	19
chr1_+_44213229_44213244	14	143	94	27	47	34	16
chr1_+_44213260_44213299	50	133	209	97	79	81	30
chr1_+_44217435_44217468	19	36	39	28	14	34	19
chr1_+_44217573_44217694	19	36	39	28	14	34	19
chr1_+_44218769_44218769	19	36	39	28	14	34	19
chr1_+_44357108_44357165	25	4	21	21	31	17	17
chr1_+_44643513_44643546	25	169	31	33	33	27	111
chr1_+_44870223_44870251	25	169	31	33	33	27	111
chr1_+_44870256_44870599	27	147	34	33	36	28	107
chr1_+_44978053_44978117	5	51	12	73	8	7	158
chr1_+_44978120_44978139	5	59	13	78	9	7	195
chr1_+_44978145_44978191	4	38	9	64	7	7	288
chr1_+_45013832_45013845	2779	4616	5224	3622	3015	3731	782
chr1_+_45038483_45038604	7	9	16	11	20	10	8
chr1_+_45038622_45038634	7	9	16	11	20	10	8
chr1_+_45038635_45038803	15	14	23	15	25	16	14
chr1_+_45250388_45250409	81	643	353	128	58	197	139
chr1_+_45250475_45250496	88	674	353	141	62	210	152
chr1_+_45250503_45250524	41	381	162	65	26	100	66
chr1_+_45251007_45251205	72	579	302	118	49	173	125
chr1_+_45577928_45578016	61	108	25	28	23	21	61
chr1_+_45578256_45578359	64	100	22	33	30	28	66
chr1_+_45578370_45578462	49	116	21	22	21	19	56
chr1_+_45578464_45578511	47	110	21	22	21	18	53
chr1_+_45738442_45738610	11	10	7	10	10	9	10
chr1_+_45789048_45789110	33	530	193	61	149	81	10
chr1_+_45789111_45789229	33	522	190	62	144	81	10
chr1_+_45789294_45789344	28	512	171	54	130	72	8
chr1_+_45822246_45822405	16	357	15	41	25	18	76
chr1_+_46041870_46041901	36	21	21	28	47	21	114
chr1_+_46151845_46151854	42	28	39	21	20	19	378
chr1_+_46413335_46413345	17	15	550	15	30	14	33
chr1_+_46418786_46418808	19	25	289	15	19	14	31
chr1_+_46441592_46441684	841	176	152	540	181	389	571
chr1_+_46485946_46485965	10	36	9	11	6	7	26
chr1_+_46485972_46485975	10	36	9	11	6	7	26
chr1_+_46486020_46486033	11	31	10	8	6	7	33
chr1_+_46541913_46542025	1067	1819	2556	1203	242	1403	175
chr1_+_46578976_46579085	39764	24932	15562	37479	33107	31862	50861
chr1_+_46632505_46632622	22	23	20	16	37	13	112
chr1_+_46745254_46745265	5167	7029	2909	4838	8341	5574	19138
chr1_+_47037256_47037340	27	9	10	10	18	11	11
chr1_+_47375670_47375749	87	4	25	31	124	28	40
chr1_+_47572034_47572071	337	284	354	234	314	340	15
chr1_+_47572075_47572204	337	284	354	234	314	340	15
chr1_+_47572209_47572247	337	284	354	234	314	340	15
chr1_+_47654330_47654330	6	4	4	7	12	5	5
chr1_+_47674275_47674275	13	5	10	12	19	10	15
chr1_+_50286272_50286375	5	7	4	6	6	6	9
chr1_+_50342168_50342168	5	7	4	6	6	6	9
chr1_+_50344550_50344550	5	7	4	6	6	6	9
chr1_+_50347176_50347181	5	7	4	6	6	6	9
chr1_+_50347188_50347355	5	7	4	6	6	6	9
chr1_+_50348052_50348199	5	8	4	7	5	6	9
chr1_+_51206819_51206961	90	33	14	35	24	19	12
chr1_+_51206963_51206998	102	44	12	27	20	17	11
chr1_+_51207035_51207098	107	46	10	26	17	15	11
chr1_+_51207242_51207370	102	44	12	27	20	17	11
chr1_+_51208229_51208229	102	44	12	27	20	17	11
chr1_+_51208499_51208628	102	48	24	34	44	26	19
chr1_+_51474531_51474543	205	21	271	72	95	259	67
chr1_+_51474558_51474567	200	20	253	77	101	255	63
chr1_+_51474583_51475021	222	21	297	72	99	270	72
chr1_+_51855133_51855133	47	193	210	188	117	170	178
chr1_+_51855343_51855368	49	195	216	193	119	178	182
